epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4603.93,1.44983,3.57312,1.93758,0.47043,0.45694,0.45425,0.2425,1.4909,3.32451,1.93861,0.000195917,0.000195917,0.000195917
2,7972.66,1.41916,2.59636,1.88808,0.60809,0.42599,0.47406,0.26968,1.45893,2.7787,1.91916,0.000353117,0.000353117,0.000353117
3,11439.4,1.40166,2.20833,1.87909,0.59594,0.56535,0.55421,0.31696,1.41231,2.55782,1.86419,0.00047151,0.00047151,0.00047151
4,14856,1.36066,1.95011,1.83821,0.65141,0.52296,0.58305,0.36176,1.3134,2.13754,1.75264,0.000413364,0.000413364,0.000413364
5,18229.6,1.30076,1.76558,1.78358,0.69354,0.59274,0.64614,0.41102,1.31592,1.91693,1.75193,0.000355152,0.000355152,0.000355152
6,21605.9,1.24003,1.6142,1.72116,0.72094,0.62852,0.68445,0.45363,1.23316,1.60799,1.67416,0.00029694,0.00029694,0.00029694
7,24954.7,1.20315,1.49384,1.68769,0.7555,0.63139,0.70604,0.46665,1.23855,1.54252,1.6707,0.000238728,0.000238728,0.000238728
8,28283.4,1.15998,1.38233,1.64524,0.79174,0.68173,0.75026,0.51851,1.16056,1.38919,1.60453,0.000180516,0.000180516,0.000180516
9,31627.1,1.12303,1.28467,1.6114,0.75152,0.69914,0.75384,0.52543,1.14465,1.39665,1.57447,0.000122304,0.000122304,0.000122304
10,34975.1,1.08778,1.20611,1.57672,0.79814,0.69836,0.77343,0.5456,1.11431,1.31741,1.55841,6.4092e-05,6.4092e-05,6.4092e-05
